u_id,numSentence,numWords,totSentiment,avgSentiment
146743638.12652.12652,1,4,2.0,2.0
146743638.12667.12652,3,70,4.0,1.3333333333333333
146842219.12874.12874,4,86,8.0,2.0
143890867.11926.11926,1,7,2.0,2.0
143890867.11944.11926,4,19,6.0,1.5
143902946.11991.11991,3,31,5.0,1.6666666666666667
143945536.12065.12065,4,37,5.0,1.25
144052463.12169.12169,2,12,4.0,2.0
144065917.12226.12226,7,55,7.0,1.0
127296808.516.516,1,8,2.0,2.0
127296808.534.516,9,150,12.0,1.3333333333333333
127331347.862.862,3,17,5.0,1.6666666666666667
144643838.1236.1236,1,7,2.0,2.0
144643838.1260.1236,4,32,7.0,1.75
144644837.1330.1330,2,19,4.0,2.0
144645147.1375.1330,4,43,7.0,1.75
144645449.1479.1479,8,60,13.0,1.625
66813686.23567.23567,1,1,2.0,2.0
66813686.23575.23567,3,39,6.0,2.0
67105084.23665.23665,14,244,25.0,1.7857142857142858
67165403.24298.24298,8,154,15.0,1.875
67171779.24663.24663,3,110,6.0,2.0
67175218.24895.24895,5,85,10.0,2.0
67176052.25110.25110,6,135,9.0,1.5
68000691.25417.25417,1,4,2.0,2.0
68000691.25429.25417,3,46,7.0,2.3333333333333335
68063051.25544.25544,1,15,1.0,1.0
68188977.25580.25580,3,59,3.0,1.0
68254097.25708.25708,5,55,7.0,1.4
95127226.4039.4039,8,110,14.0,1.75
95369890.4278.4278,7,109,12.0,1.7142857142857142
95473956.4534.4534,9,120,16.0,1.7777777777777777
95496469.4805.4805,8,130,12.0,1.5
95652272.5102.5102,10,163,17.0,1.7
95665651.5462.5462,9,129,17.0,1.8888888888888888
100898446.6243.6250,2,2,4.0,2.0
14969685.9097.9097,1,9,1.0,1.0
14969685.9121.9097,18,368,21.0,1.1666666666666667
14971191.9954.9954,3,49,7.0,2.3333333333333335
14972044.10058.10058,4,60,6.0,1.5
158714043.10458.10458,1,3,2.0,2.0
158714043.10466.10458,3,41,5.0,1.6666666666666667
158724926.10556.10556,2,21,3.0,1.5
158728127.10607.10607,1,16,1.0,1.0
156725805.9367.0,2,3,3.0,1.5
156725805.9377.0,2,27,4.0,2.0
156726951.9435.9435,3,31,4.0,1.3333333333333333
156932020.9514.9514,6,80,11.0,1.8333333333333333
156933650.9695.9685,2,19,4.0,2.0
157072762.9514.9514,10,125,17.0,1.7
240149353.16332.16332,1,3,2.0,2.0
240149353.16340.16332,5,154,9.0,1.8
240153963.16690.16690,2,60,5.0,2.5
240786321.13311.13311,7,165,8.0,1.1428571428571428
241131342.18768.18523,1,4,2.0,2.0
241131342.18781.18523,2,21,3.0,1.5
241132175.18826.18826,3,10,5.0,1.6666666666666667
241133122.18853.18853,4,28,6.0,1.5
271340377.69106.69106,1,4,2.0,2.0
271340377.69116.69106,2,21,4.0,2.0
271369262.70124.70124,1,2,3.0,3.0
271372051.70131.70131,3,24,6.0,2.0
271737366.70124.2298,1,2,3.0,3.0
271266337.66158.66158,1,6,2.0,2.0
271266337.66174.66158,7,176,9.0,1.2857142857142858
271282439.66561.66561,5,99,6.0,1.2
271287949.66776.66776,2,10,3.0,1.5
271288263.66804.66804,2,32,4.0,2.0
271289346.66880.66880,3,33,3.0,1.0
271291318.66957.66957,2,13,4.0,2.0
271292038.67206.67206,5,52,12.0,2.4
271294928.67333.67333,9,117,13.0,1.4444444444444444
200053269.20798.20798,1,11,1.0,1.0
